accession,representation,n_components,detrend_bp,auc,mean_in,mean_out,contrast
NC_000907.1,NT-v2-50M,8,1000000,0.18,2.046006679534912,2.351545810699463,0.8700688161062579
NC_000907.1,NT-v2-50M,16,0,0.04,3.956632137298584,5.053733825683594,0.7829126490973017
NC_000907.1,NT-v2-50M,16,100000,0.14,4.006795406341553,4.90853214263916,0.8162919768896996
NC_000907.1,NT-v2-50M,16,250000,0.04,3.9425950050354004,4.894349098205566,0.8055402109508063
NC_000907.1,NT-v2-50M,16,1000000,0.04,3.6541290283203125,4.770100116729736,0.766048707343588
NC_000907.1,NT-v2-50M,24,0,0.03,4.984715938568115,6.004778861999512,0.8301248144395897
NC_000907.1,NT-v2-50M,24,100000,0.05,4.9642157554626465,5.836050033569336,0.8506122680422816
NC_000907.1,NT-v2-50M,24,250000,0.06,4.909940242767334,5.872674942016602,0.8360653860881534
NC_000907.1,NT-v2-50M,24,1000000,0.03,4.690770626068115,5.732045650482178,0.8183414634308659
NC_000907.1,NT-v2-50M,48,0,0.13,7.482265472412109,8.100263595581055,0.923706418207664
NC_000907.1,NT-v2-50M,48,100000,0.13,7.650094509124756,7.953469276428223,0.9618562973264282
NC_000907.1,NT-v2-50M,48,250000,0.13,7.377510070800781,7.970671653747559,0.9255819824584178
NC_000907.1,NT-v2-50M,48,1000000,0.1,7.0329155921936035,7.682855129241943,0.9154039056945659
NC_000907.1,compositional,11,0,0.0,2.8133695141996116,4.1157224729671835,0.6835663805512485
AC_000091.1,DNABERT-S,8,0,0.8545848375451264,3.237100601196289,2.755751848220825,1.1746705724923068
AC_000091.1,DNABERT-S,8,100000,0.7061371841155235,2.9953339099884033,2.7375731468200684,1.094156666998194
AC_000091.1,DNABERT-S,8,250000,0.8430324909747292,3.2181873321533203,2.7403366565704346,1.1743766315854498
AC_000091.1,DNABERT-S,8,1000000,0.9132129963898917,3.42634916305542,2.8037588596343994,1.2220555813070901
AC_000091.1,DNABERT-S,16,0,0.8792779783393502,5.05860710144043,3.9337401390075684,1.2859535512471982
AC_000091.1,DNABERT-S,16,100000,0.8742238267148015,4.902552604675293,3.914646863937378,1.2523613942904348
AC_000091.1,DNABERT-S,16,250000,0.8616606498194946,5.025940418243408,3.906430721282959,1.286581223842305
AC_000091.1,DNABERT-S,16,1000000,0.9800722021660649,5.356555938720703,3.929452657699585,1.363181187136782
AC_000091.1,DNABERT-S,24,0,0.8597833935018051,6.150977611541748,4.897155284881592,1.2560307471831522
AC_000091.1,DNABERT-S,24,100000,0.8427436823104694,5.987543106079102,4.871371269226074,1.2291288787418488
AC_000091.1,DNABERT-S,24,250000,0.8508303249097473,6.13203239440918,4.86939001083374,1.2593019620047334
AC_000091.1,DNABERT-S,24,1000000,0.9699638989169675,6.56352424621582,4.911551475524902,1.336344387088882
AC_000091.1,DNABERT-S,48,0,0.8580505415162455,8.782320976257324,6.979483127593994,1.2583053523742544
AC_000091.1,DNABERT-S,48,100000,0.8394223826714802,8.645585060119629,6.964472770690918,1.241383999159772
AC_000091.1,DNABERT-S,48,250000,0.8515523465703971,8.716087341308594,6.945308685302734,1.2549603964692138
AC_000091.1,DNABERT-S,48,1000000,0.92014440433213,9.119165420532227,7.010645389556885,1.3007597608796775
AC_000091.1,DNABERT-2,8,0,0.6981949458483755,3.641979455947876,3.3220295906066895,1.0963115639444847
AC_000091.1,DNABERT-2,8,100000,0.6501083032490975,3.253816604614258,3.1610512733459473,1.0293463545025383
AC_000091.1,DNABERT-2,8,250000,0.6735018050541516,3.4678356647491455,3.242746353149414,1.0694131723812197
AC_000091.1,DNABERT-2,8,1000000,0.7595667870036101,3.9201111793518066,3.264681100845337,1.2007638903342677
AC_000091.1,DNABERT-2,16,0,0.7429602888086643,5.217501640319824,4.410207271575928,1.1830513440823884
AC_000091.1,DNABERT-2,16,100000,0.6970397111913358,4.91502571105957,4.274062156677246,1.1499658944783864
AC_000091.1,DNABERT-2,16,250000,0.7182671480144405,5.08768892288208,4.347033977508545,1.1703816784514838
AC_000091.1,DNABERT-2,16,1000000,0.7675090252707581,5.392565727233887,4.426424503326416,1.2182667349643996
AC_000091.1,DNABERT-2,24,0,0.7852707581227437,6.308260917663574,5.196744918823242,1.2138869650527364
AC_000091.1,DNABERT-2,24,100000,0.7757400722021661,6.066686630249023,5.0889668464660645,1.192125398588894
AC_000091.1,DNABERT-2,24,250000,0.7844043321299639,6.209631443023682,5.132774829864502,1.2098000884226607
AC_000091.1,DNABERT-2,24,1000000,0.836101083032491,6.50439453125,5.203458309173584,1.2500137686858936
AC_000091.1,DNABERT-2,48,0,0.8431768953068592,8.531227111816406,7.21644401550293,1.1821926552037203
AC_000091.1,DNABERT-2,48,100000,0.8389891696750903,8.398200035095215,7.149855136871338,1.1745972294999718
AC_000091.1,DNABERT-2,48,250000,0.8433212996389892,8.452123641967773,7.164305686950684,1.1797547468364962
AC_000091.1,DNABERT-2,48,1000000,0.8824548736462093,8.858410835266113,7.261576175689697,1.2199019360180092
AC_000091.1,NT-v2-50M,8,0,0.2885198555956679,2.2370848655700684,2.7207279205322266,0.8222376257058632
AC_000091.1,NT-v2-50M,8,100000,0.2752346570397112,2.209245443344116,2.693772315979004,0.8201307253175201
AC_000091.1,NT-v2-50M,8,250000,0.3377617328519856,2.294790029525757,2.681260585784912,0.8558623662660451
AC_000091.1,NT-v2-50M,8,1000000,0.48216606498194947,2.5489232540130615,2.667860746383667,0.9554184031037499
AC_000091.1,NT-v2-50M,16,0,0.45588447653429603,3.8671560287475586,4.049213409423828,0.955038827972721
AC_000091.1,NT-v2-50M,16,100000,0.4506859205776173,3.908130168914795,4.0391693115234375,0.9675578980473044
AC_000091.1,NT-v2-50M,16,250000,0.46700361010830327,3.8959505558013916,4.03812313079834,0.9647924121202216
AC_000091.1,NT-v2-50M,16,1000000,0.511768953068592,4.026001453399658,4.037235736846924,0.9972173328040439
AC_000091.1,NT-v2-50M,24,0,0.5731407942238267,5.015413284301758,4.966616153717041,1.0098250255454504
AC_000091.1,NT-v2-50M,24,100000,0.5262093862815884,4.950281620025635,4.964768886566162,0.9970819857134282
AC_000091.1,NT-v2-50M,24,250000,0.5676534296028881,5.020190715789795,4.967675685882568,1.0105713482980516
AC_000091.1,NT-v2-50M,24,1000000,0.6750902527075813,5.403121471405029,4.988217353820801,1.0831768321535602
AC_000091.1,NT-v2-50M,48,0,0.5805054151624549,7.153234481811523,6.984321117401123,1.0241846503863576
AC_000091.1,NT-v2-50M,48,100000,0.5344404332129964,7.075136184692383,7.000743865966797,1.0106263448784685
AC_000091.1,NT-v2-50M,48,250000,0.5702527075812275,7.166132926940918,6.984946250915527,1.0259395948825865
AC_000091.1,NT-v2-50M,48,1000000,0.6869314079422383,7.568132400512695,7.034228324890137,1.0759008736940447
AC_000091.1,compositional,11,0,0.6977617328519855,4.627470855181235,3.586065804007484,1.290403218482484
NC_000913.2,DNABERT-S,8,0,0.8479100218230653,3.264457941055298,2.7228903770446777,1.198894369224815
NC_000913.2,DNABERT-S,8,100000,0.7749706227967098,3.0878565311431885,2.722670316696167,1.1341279596753226
NC_000913.2,DNABERT-S,8,250000,0.8322981366459627,3.2186355590820312,2.6970155239105225,1.1934063895988216
NC_000913.2,DNABERT-S,8,1000000,0.9394829612220916,3.5847465991973877,2.7749431133270264,1.2918270583570433
NC_000913.2,DNABERT-S,16,0,0.8953332214201779,4.865468502044678,3.923541784286499,1.240070520347337
NC_000913.2,DNABERT-S,16,100000,0.9100218230653013,4.816040515899658,3.912407159805298,1.2309660828192865
NC_000913.2,DNABERT-S,16,250000,0.8913882826926305,4.822044849395752,3.88320255279541,1.2417701069763911
NC_000913.2,DNABERT-S,16,1000000,0.978344804431761,5.236790180206299,3.9313478469848633,1.3320597372788168
NC_000913.2,DNABERT-S,24,0,0.8570589222763135,5.988215446472168,4.840536117553711,1.237097565444562
NC_000913.2,DNABERT-S,24,100000,0.818448883666275,5.881304740905762,4.856459140777588,1.2110273288460287
NC_000913.2,DNABERT-S,24,250000,0.8448883666274971,5.939280033111572,4.817662239074707,1.232813704734163
NC_000913.2,DNABERT-S,24,1000000,0.9853113983548766,6.5173749923706055,4.847959518432617,1.3443542520498857
NC_000913.2,DNABERT-S,48,0,0.7901628336410945,8.422239303588867,6.969749927520752,1.2083990661318875
NC_000913.2,DNABERT-S,48,100000,0.7821050864529125,8.379981994628906,6.9826250076293945,1.200119150816881
NC_000913.2,DNABERT-S,48,250000,0.7926808796374014,8.40687084197998,6.951356410980225,1.2093856716511693
NC_000913.2,DNABERT-S,48,1000000,0.9414134631525936,9.069046020507812,6.991796016693115,1.2970981989255983
NC_000913.2,DNABERT-2,8,0,0.5920765485982877,3.365218162536621,3.3347675800323486,1.009131245813532
NC_000913.2,DNABERT-2,8,100000,0.534329360416317,3.0757148265838623,3.2251598834991455,0.9536627446968172
NC_000913.2,DNABERT-2,8,250000,0.5732751384925298,3.293074607849121,3.2870919704437256,1.0018200395544723
NC_000913.2,DNABERT-2,8,1000000,0.7567567567567568,3.857800245285034,3.289797782897949,1.1726557374863136
NC_000913.2,DNABERT-2,16,0,0.5802417324156455,4.713504791259766,4.4757161140441895,1.053128632638122
NC_000913.2,DNABERT-2,16,100000,0.5643780426389122,4.532975673675537,4.395409107208252,1.031297784372718
NC_000913.2,DNABERT-2,16,250000,0.5779754910189693,4.642953395843506,4.430498123168945,1.0479529088531925
NC_000913.2,DNABERT-2,16,1000000,0.744250461641766,5.306311130523682,4.466439723968506,1.188040465887881
NC_000913.2,DNABERT-2,24,0,0.5910693301997649,5.532105922698975,5.3384599685668945,1.0362737484728324
NC_000913.2,DNABERT-2,24,100000,0.5684069162330032,5.394847869873047,5.273683547973633,1.022975273506119
NC_000913.2,DNABERT-2,24,250000,0.5827597784119524,5.4706830978393555,5.290383338928223,1.0340806605798172
NC_000913.2,DNABERT-2,24,1000000,0.7519724693637737,6.128029823303223,5.324981212615967,1.15080778290535
NC_000913.2,DNABERT-2,48,0,0.6139835487661575,7.6486711502075195,7.357279300689697,1.039605924637183
NC_000913.2,DNABERT-2,48,100000,0.5996306865872083,7.493322849273682,7.293503284454346,1.0273969253219148
NC_000913.2,DNABERT-2,48,250000,0.606597280510324,7.570222854614258,7.315737724304199,1.0347859833007154
NC_000913.2,DNABERT-2,48,1000000,0.7918415309719657,8.259771347045898,7.367201805114746,1.1211544851820778
NC_000913.2,NT-v2-50M,8,0,0.39399026355548095,2.633349895477295,2.934720277786255,0.8973086516660141
NC_000913.2,NT-v2-50M,8,100000,0.3870236696323653,2.6140875816345215,2.9074018001556396,0.8991146602078129
NC_000913.2,NT-v2-50M,8,250000,0.4158133288568071,2.6624534130096436,2.911978244781494,0.9143108873773286
NC_000913.2,NT-v2-50M,8,1000000,0.4395668960886352,2.7024550437927246,2.9284114837646484,0.9228399283281585
NC_000913.2,NT-v2-50M,16,0,0.3766996810475071,3.933279275894165,4.271421432495117,0.9208361520995063
NC_000913.2,NT-v2-50M,16,100000,0.3658720832633876,3.8660035133361816,4.211288928985596,0.9180095639430312
NC_000913.2,NT-v2-50M,16,250000,0.40280342454255497,3.9287543296813965,4.2204484939575195,0.9308855054874509
NC_000913.2,NT-v2-50M,16,1000000,0.5475071344636562,4.198805332183838,4.227939605712891,0.993109108396514
NC_000913.2,NT-v2-50M,24,0,0.4514017122712775,5.030683517456055,5.197961807250977,0.9678184842448102
NC_000913.2,NT-v2-50M,24,100000,0.45820043646130604,4.992458343505859,5.156573295593262,0.9681736411605644
NC_000913.2,NT-v2-50M,24,250000,0.4780090649655867,5.035904407501221,5.15839958190918,0.9762532598603728
NC_000913.2,NT-v2-50M,24,1000000,0.6348833305355045,5.431346893310547,5.179750442504883,1.0485730835101765
NC_000913.2,NT-v2-50M,48,0,0.497314084270606,7.051265716552734,7.16051721572876,0.9847425128821639
NC_000913.2,NT-v2-50M,48,100000,0.4789323484975659,7.038890838623047,7.174502372741699,0.981098126800559
NC_000913.2,NT-v2-50M,48,250000,0.5078898774550948,7.085800647735596,7.161377906799316,0.9894465478505241
NC_000913.2,NT-v2-50M,48,1000000,0.6808796374013766,7.525805950164795,7.184925556182861,1.0474438310204335
NC_000913.2,compositional,11,0,0.6133960047003525,4.012035464141026,3.457935413969719,1.1602401386482806
NC_002516.2,DNABERT-S,8,0,0.3930008045052293,2.658553123474121,2.7661986351013184,0.9610854006428737
NC_002516.2,DNABERT-S,8,100000,0.3974830479255258,2.648897886276245,2.748103380203247,0.9639003777508309
NC_002516.2,DNABERT-S,8,250000,0.4011607861165383,2.6658709049224854,2.777662515640259,0.9597533501322405
NC_002516.2,DNABERT-S,8,1000000,0.3695552235375244,2.6447086334228516,2.7749030590057373,0.9530814508419133
NC_002516.2,DNABERT-S,16,0,0.42351453855878635,3.969019889831543,4.11747407913208,0.9639453251077102
NC_002516.2,DNABERT-S,16,100000,0.3897827835880933,3.933699131011963,4.136692523956299,0.9509285759652751
NC_002516.2,DNABERT-S,16,250000,0.41426272842202044,3.9524483680725098,4.128396987915039,0.9573808864899428
NC_002516.2,DNABERT-S,16,1000000,0.4134007585335019,3.9189770221710205,4.09325647354126,0.9574227873340508
NC_002516.2,DNABERT-S,24,0,0.4540282726123434,5.058987617492676,5.17748498916626,0.9771129473245145
NC_002516.2,DNABERT-S,24,100000,0.42696241811286056,5.011718273162842,5.176679611206055,0.9681337555281346
NC_002516.2,DNABERT-S,24,250000,0.44293759338007127,5.030275344848633,5.178145885467529,0.9714433420978162
NC_002516.2,DNABERT-S,24,1000000,0.4548327778416274,4.994658946990967,5.126492500305176,0.9742838688818211
NC_002516.2,DNABERT-S,48,0,0.488219744856913,7.365193843841553,7.447126388549805,0.9889980993428249
NC_002516.2,DNABERT-S,48,100000,0.4725893575451098,7.353091716766357,7.464311122894287,0.9850998432009618
NC_002516.2,DNABERT-S,48,250000,0.48023215722330764,7.328122615814209,7.432453155517578,0.9859628392510058
NC_002516.2,DNABERT-S,48,1000000,0.4834501781404436,7.247865200042725,7.3414716720581055,0.9872496311098427
NC_002516.2,DNABERT-2,8,0,0.55355706240662,3.343907356262207,3.3311767578125,1.0038216520392833
NC_002516.2,DNABERT-2,8,100000,0.5060912538788644,3.1421642303466797,3.2171759605407715,0.9766839827494287
NC_002516.2,DNABERT-2,8,250000,0.5151132053786921,3.181225299835205,3.2695837020874023,0.9729756414568048
NC_002516.2,DNABERT-2,8,1000000,0.541776807263533,3.2110424041748047,3.2360947132110596,0.9922584747183136
NC_002516.2,DNABERT-2,16,0,0.5957935869440294,4.792418479919434,4.583219528198242,1.0456445410118576
NC_002516.2,DNABERT-2,16,100000,0.5398230088495575,4.562987327575684,4.41233491897583,1.0341434662976179
NC_002516.2,DNABERT-2,16,250000,0.5420066659004712,4.611356258392334,4.505530834197998,1.0234878925677517
NC_002516.2,DNABERT-2,16,1000000,0.5689575910814849,4.616181373596191,4.468153953552246,1.0331294359108332
NC_002516.2,DNABERT-2,24,0,0.6106194690265486,5.972474098205566,5.479630470275879,1.0899410335428832
NC_002516.2,DNABERT-2,24,100000,0.56826801517067,5.805800914764404,5.286162853240967,1.098301561255315
NC_002516.2,DNABERT-2,24,250000,0.575910814848868,5.837491035461426,5.385982990264893,1.083830202585606
NC_002516.2,DNABERT-2,24,1000000,0.5919434547753132,5.789698600769043,5.344442367553711,1.0833120094845625
NC_002516.2,DNABERT-2,48,0,0.6306746350994139,8.360158920288086,7.401835918426514,1.1294709869852524
NC_002516.2,DNABERT-2,48,100000,0.5927479600045972,8.165018081665039,7.230764865875244,1.1292053099664316
NC_002516.2,DNABERT-2,48,250000,0.5919434547753132,8.19455337524414,7.322076797485352,1.1191569826279926
NC_002516.2,DNABERT-2,48,1000000,0.6073439834501781,8.122635841369629,7.250774383544922,1.1202439093682641
NC_002516.2,NT-v2-50M,8,0,0.4466153315710838,2.6647679805755615,2.7872822284698486,0.9560452663734937
NC_002516.2,NT-v2-50M,8,100000,0.44707504884496035,2.699113130569458,2.8093626499176025,0.9607563945682206
NC_002516.2,NT-v2-50M,8,250000,0.47121020572348005,2.7218151092529297,2.8278849124908447,0.9624914710038581
NC_002516.2,NT-v2-50M,8,1000000,0.46195839558671414,2.6853063106536865,2.805682897567749,0.9570954411781826
NC_002516.2,NT-v2-50M,16,0,0.5766578554189173,4.311310768127441,4.120082855224609,1.0464136085662303
NC_002516.2,NT-v2-50M,16,100000,0.5366049879324215,4.211835861206055,4.0977783203125,1.0278339949060145
NC_002516.2,NT-v2-50M,16,250000,0.5360303413400759,4.230434894561768,4.121342182159424,1.0264701904332494
NC_002516.2,NT-v2-50M,16,1000000,0.5447649695437307,4.218245983123779,4.075428485870361,1.0350435537633824
NC_002516.2,NT-v2-50M,24,0,0.650212619239168,5.546847820281982,5.02529764175415,1.103784932895194
NC_002516.2,NT-v2-50M,24,100000,0.5684404091483738,5.368554592132568,5.021395683288574,1.0691359396351405
NC_002516.2,NT-v2-50M,24,250000,0.6078037007240547,5.452451705932617,5.03558874130249,1.0827833617965994
NC_002516.2,NT-v2-50M,24,1000000,0.614469601195265,5.4237518310546875,4.977745532989502,1.089600059928601
NC_002516.2,NT-v2-50M,48,0,0.6553844385702793,7.777571201324463,7.135887622833252,1.089923442241154
NC_002516.2,NT-v2-50M,48,100000,0.6314216756694633,7.660253524780273,7.124958038330078,1.0751296335459761
NC_002516.2,NT-v2-50M,48,250000,0.6385472934145501,7.712921619415283,7.128887176513672,1.0819250506342322
NC_002516.2,NT-v2-50M,48,1000000,0.6423399609240317,7.633243083953857,7.033051013946533,1.0853387909197791
NC_002516.2,compositional,11,0,0.43845534995977475,4.287883039268449,4.4863979411716635,0.9557518293057681
NC_002655.2,DNABERT-S,8,0,0.7649600605977138,2.932539463043213,2.603998899459839,1.12616770446851
NC_002655.2,DNABERT-S,8,100000,0.5679486296653353,2.7453196048736572,2.6659531593322754,1.0297703825978923
NC_002655.2,DNABERT-S,8,250000,0.6323853463710233,2.8042609691619873,2.6510183811187744,1.0578051774875066
NC_002655.2,DNABERT-S,8,1000000,0.5717417251985494,2.775632381439209,2.6858150959014893,1.033441351072447
NC_002655.2,DNABERT-S,16,0,0.7540513244273057,4.186483383178711,3.7958984375,1.1028965743182404
NC_002655.2,DNABERT-S,16,100000,0.5914245053482073,4.03256893157959,3.850156545639038,1.047377914060966
NC_002655.2,DNABERT-S,16,250000,0.6556029931598035,4.100855350494385,3.847163438796997,1.0659425875020057
NC_002655.2,DNABERT-S,16,1000000,0.6138617270348437,4.028919219970703,3.8665449619293213,1.0419946643942195
NC_002655.2,DNABERT-S,24,0,0.7756048294541615,5.3173747062683105,4.713662624359131,1.1280770666083173
NC_002655.2,DNABERT-S,24,100000,0.6567449387136758,5.172382354736328,4.776266574859619,1.0829341858684576
NC_002655.2,DNABERT-S,24,250000,0.6969081393747417,5.234982967376709,4.7819671630859375,1.0947341938664479
NC_002655.2,DNABERT-S,24,1000000,0.6529575816003306,5.159268379211426,4.809275150299072,1.0727746319298426
NC_002655.2,DNABERT-S,48,0,0.6974016434834504,7.581462383270264,6.819278717041016,1.1117689564916289
NC_002655.2,DNABERT-S,48,100000,0.6264288665473076,7.456272602081299,6.875710487365723,1.084436672512953
NC_002655.2,DNABERT-S,48,250000,0.647133085433595,7.499266624450684,6.876339435577393,1.0905899417428897
NC_002655.2,DNABERT-S,48,1000000,0.5997968599366479,7.3819708824157715,6.948669910430908,1.0623573975408471
NC_002655.2,DNABERT-2,8,0,0.7812686498645733,4.019397735595703,3.0220797061920166,1.3300104981878063
NC_002655.2,DNABERT-2,8,100000,0.7233106091906533,3.7046773433685303,2.935276985168457,1.2621218924441358
NC_002655.2,DNABERT-2,8,250000,0.760053711609971,3.8125250339508057,2.938133955001831,1.297600821589644
NC_002655.2,DNABERT-2,8,1000000,0.7527773952164531,3.8144850730895996,2.9606149196624756,1.2884097312880087
NC_002655.2,DNABERT-2,16,0,0.774526006518845,5.376428604125977,4.105573654174805,1.3095438194511226
NC_002655.2,DNABERT-2,16,100000,0.7361646696965524,5.111653804779053,4.064266681671143,1.2577062986125818
NC_002655.2,DNABERT-2,16,250000,0.7469012532708993,5.174637317657471,4.064462184906006,1.2731419514429898
NC_002655.2,DNABERT-2,16,1000000,0.7213882385346371,5.160145282745361,4.129092216491699,1.2497045384783634
NC_002655.2,DNABERT-2,24,0,0.7788929440389294,6.448525428771973,4.992891788482666,1.2915411953543805
NC_002655.2,DNABERT-2,24,100000,0.733972593306707,6.171633720397949,4.981381416320801,1.238940206461094
NC_002655.2,DNABERT-2,24,250000,0.7483014277188633,6.253871917724609,4.990057945251465,1.2532663921619966
NC_002655.2,DNABERT-2,24,1000000,0.7159539549189735,6.2254252433776855,5.053380966186523,1.2319326971454583
NC_002655.2,DNABERT-2,48,0,0.8108559427076161,8.535772323608398,6.937068939208984,1.2304580505699443
NC_002655.2,DNABERT-2,48,100000,0.7788872056190608,8.321779251098633,6.956589698791504,1.1962440809962227
NC_002655.2,DNABERT-2,48,250000,0.7795930312629115,8.367179870605469,6.949395179748535,1.204015551596281
NC_002655.2,DNABERT-2,48,1000000,0.7348276178671441,8.30007553100586,7.015113353729248,1.1831705508498338
NC_002655.2,NT-v2-50M,8,0,0.5219035486388468,2.8753855228424072,2.8000030517578125,1.0269222817586825
NC_002655.2,NT-v2-50M,8,100000,0.45309415599320574,2.81117844581604,2.842474937438965,0.9889897035816532
NC_002655.2,NT-v2-50M,8,250000,0.4764323095992288,2.8134920597076416,2.814173460006714,0.9997578684083424
NC_002655.2,NT-v2-50M,8,1000000,0.46033030344764264,2.8039565086364746,2.846733331680298,0.984973364885367
NC_002655.2,NT-v2-50M,16,0,0.5954930450351191,4.366918087005615,4.05042839050293,1.0781373390638782
NC_002655.2,NT-v2-50M,16,100000,0.511029242987651,4.184331893920898,4.089619159698486,1.023159304209978
NC_002655.2,NT-v2-50M,16,250000,0.5327606390304366,4.241905212402344,4.094118118286133,1.036097418258679
NC_002655.2,NT-v2-50M,16,1000000,0.50270279575816,4.185755252838135,4.115938186645508,1.0169626129029716
NC_002655.2,NT-v2-50M,24,0,0.6174826699719965,5.433513641357422,4.956483840942383,1.0962435903602867
NC_002655.2,NT-v2-50M,24,100000,0.5421888628747188,5.276198387145996,5.008504390716553,1.053447890936389
NC_002655.2,NT-v2-50M,24,250000,0.556460313088188,5.314365386962891,5.012320041656494,1.060260586474158
NC_002655.2,NT-v2-50M,24,1000000,0.5247268512142497,5.253330707550049,5.034023761749268,1.0435649405287222
NC_002655.2,NT-v2-50M,48,0,0.5944084836799339,7.646792888641357,7.03637170791626,1.0867522646704897
NC_002655.2,NT-v2-50M,48,100000,0.5345510260294726,7.529673099517822,7.094571113586426,1.0613288638545262
NC_002655.2,NT-v2-50M,48,250000,0.5461082036450443,7.546205520629883,7.0864787101745605,1.064873801115815
NC_002655.2,NT-v2-50M,48,1000000,0.5089002892163614,7.467195987701416,7.130819320678711,1.0471722325157284
NC_002655.2,compositional,11,0,0.885386539962356,6.242267759204074,2.67779213639838,2.331124837643261
NC_002695.1,DNABERT-S,8,0,0.774254211726624,2.9334137439727783,2.5782852172851562,1.1377382627440884
NC_002695.1,DNABERT-S,8,100000,0.5875358640476716,2.7686216831207275,2.6448934078216553,1.046780061129562
NC_002695.1,DNABERT-S,8,250000,0.6753935849334216,2.8355069160461426,2.605570077896118,1.0882481880263564
NC_002695.1,DNABERT-S,8,1000000,0.6686621790627529,2.870378017425537,2.654829740524292,1.0811909982817494
NC_002695.1,DNABERT-S,16,0,0.7364038475686014,4.169068813323975,3.7971723079681396,1.0979403817349642
NC_002695.1,DNABERT-S,16,100000,0.5974582505701465,4.0369415283203125,3.8520383834838867,1.0480013765255356
NC_002695.1,DNABERT-S,16,250000,0.6646711542705804,4.089724540710449,3.8208937644958496,1.0703580870822957
NC_002695.1,DNABERT-S,16,1000000,0.669167954094019,4.130880355834961,3.861278533935547,1.0698219047214463
NC_002695.1,DNABERT-S,24,0,0.738155668358714,5.249058723449707,4.713266372680664,1.113677502692111
NC_002695.1,DNABERT-S,24,100000,0.6544315088648569,5.126288890838623,4.767602920532227,1.0752340277252692
NC_002695.1,DNABERT-S,24,250000,0.6933118149047304,5.1662187576293945,4.737401008605957,1.0905175112354744
