accession,method,genome_len,n_pred,pred_bp,out_of_distribution,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,n_matched,mabe,median_jaccard,median_signed_start,median_signed_end,within_1000,within_2500,within_5000
NC_005139.1,TreasureIsland,3354505,43,1087000,False,69.84457922668689,72.06313730968013,70.93651601193505,87.88189766375233,0.6329630403155942,25795,11137,127493,10000,2,15730.0,0.22085551159700412,-15730.0,21372.5,0.0,0.0,0.0
NC_005773.3,TreasureIsland,5928787,90,2093000,False,93.00418832504394,97.36572952604664,95.13499556509744,96.95239207792675,0.9296965486232924,198962,14966,448393,5383,13,8866.5,0.4187666666666667,-11399.0,6038.0,3.8461538461538463,11.538461538461538,26.923076923076923
NC_005945.1,TreasureIsland,5228663,21,372000,False,79.76912898663137,46.809820878738385,58.9984139304154,98.40997722930354,0.604062464461029,17483,4434,1486497,19866,2,8284.5,0.390454378757609,-8680.0,4463.0,0.0,0.0,50.0
NC_006086.1,TreasureIsland,1899877,24,660877,False,84.40446578353676,100.0,91.54275676014805,94.11742244478265,0.878181176809193,58364,10784,114173,0,1,3318.0,0.8979076923076923,-4537.0,2099.0,0.0,50.0,100.0
NC_006155.1,TreasureIsland,4744671,54,935000,False,94.12838733327695,78.51892362336227,85.61801066994973,88.9734746902185,0.7762570829255834,133523,8329,228438,36529,10,9145.0,0.35542613574365783,-11276.5,5029.0,0.0,5.0,25.0
NC_006350.1,TreasureIsland,4074542,37,888000,False,87.42475109979162,96.12563445719104,91.56896773851295,98.75536730369485,0.9101793184646292,60414,8690,822299,2435,5,3154.0,0.61232,-7810.0,2869.0,20.0,40.0,60.0
NC_006511.1,TreasureIsland,4585229,36,727229,False,35.26795932380735,100.0,52.14532621044744,96.29192584975529,0.5825223785083644,10786,19797,503306,0,1,42107.0,0.11353684210526316,-58523.0,25691.0,0.0,0.0,0.0
NC_006905.1,TreasureIsland,4755700,50,900700,False,72.05766243027787,72.57150185968962,72.31366935896125,96.42416199549719,0.7040285342567596,28292,10971,555888,10693,2,28867.0,0.26940735294117646,-28867.0,19487.0,0.0,25.0,25.0
NC_007005.1,TreasureIsland,6093698,90,1951000,False,88.81140111975283,96.5106011353161,92.50106954855751,97.30582690530966,0.9097911182930931,99459,12530,482966,3596,8,10520.5,0.3390244884056974,-10520.5,9862.5,12.5,12.5,37.5
NC_007146.2,TreasureIsland,1914490,30,694490,False,100.0,100.0,100.0,100.0,1.0,70549,0,8599,0,3,7493.5,0.39294444444444443,-15649.0,6534.0,0.0,0.0,16.666666666666664
NC_007297.1,TreasureIsland,1838554,27,611554,False,34.14831981460023,100.0,50.91128962598255,88.55497208222778,0.5476627062846808,11788,22732,164099,0,1,16606.0,0.26195555555555555,-25054.0,8158.0,0.0,0.0,0.0
NC_007335.2,TreasureIsland,1842899,0,0,True,0.0,0.0,0.0,94.0431024879925,0.0,0,0,287044,18182,0,,,,,,,
NC_007384.1,TreasureIsland,4825265,58,1141000,False,71.92717524093932,100.0,83.67167684822407,97.0925788272259,0.8346713676539982,42391,16545,510125,0,4,5270.0,0.42057444057841475,-12383.5,3068.0,0.0,25.0,50.0
NC_007432.1,TreasureIsland,2127839,44,852839,False,62.56740760226226,100.0,76.97411003236246,88.51701668381448,0.7326410498059919,47570,28460,171815,0,3,15213.5,0.1781838014725934,-3794.0,21422.0,0.0,16.666666666666664,33.33333333333333
NC_007434.1,TreasureIsland,4126292,32,972292,False,94.56288688314832,98.20432936190844,96.34921403938392,98.21397597734126,0.9519735311258019,218758,12578,692871,4000,14,34266.5,0.13511333519709254,-29438.0,43064.0,0.0,7.142857142857142,7.142857142857142
NC_007510.1,TreasureIsland,3694126,43,819000,False,79.27501970055162,95.3865299712584,86.58767836249444,96.80113332620549,0.8525701735610451,96576,25248,808805,4671,5,58512.5,0.1542694610778443,-46558.0,70467.0,0.0,0.0,10.0
NC_007530.2,TreasureIsland,5227419,23,403000,False,84.34885512989872,82.06109936008997,83.18925154373346,99.18954992443128,0.8278231212458159,30649,5687,1485374,6700,3,3940.5,0.5024361337898341,-4369.0,-3188.0,0.0,16.666666666666664,66.66666666666666
NC_007606.1,TreasureIsland,4369232,59,936000,False,55.265940143135985,88.61865484302155,68.0766870781522,94.27754993928048,0.6731323485612679,27182,22002,392816,3491,3,7081.5,0.4664,-8014.0,2658.0,0.0,0.0,33.33333333333333
NC_007613.1,TreasureIsland,4519823,57,998000,False,54.90529730761279,100.0,70.88885694926391,93.87127869731171,0.7160234563133562,34525,28356,399793,0,3,12979.5,0.30374285714285715,-3249.0,21898.0,16.666666666666664,16.666666666666664,33.33333333333333
NC_007651.1,TreasureIsland,3809201,26,670000,False,69.22955137523569,100.0,81.81733132617221,97.36985849718151,0.8203303705744694,48100,21379,743367,0,4,16976.5,0.22640863095238095,-30250.5,16976.5,0.0,0.0,0.0
NC_007761.1,TreasureIsland,4381608,21,406608,False,99.15755298529916,91.91399662731871,95.3984725527353,98.25213895949145,0.9442494894530313,141713,1204,626772,12467,7,5327.5,0.44242857142857145,-1924.0,8291.0,14.285714285714285,35.714285714285715,42.857142857142854
NC_007778.1,TreasureIsland,5331656,96,2413656,False,98.99016711291662,89.35928601194611,93.92849842308142,91.2011701443901,0.794672047711597,257319,2625,87488,30641,16,23595.5,0.18692852767703833,-23595.5,23523.0,3.125,6.25,12.5
NC_007793.1,TreasureIsland,2872769,36,882000,False,51.704530835927656,100.0,68.16478130352934,93.92469220511892,0.6953042463822985,20096,18771,270105,0,1,17452.0,0.3653818181818182,-13007.0,21897.0,0.0,0.0,0.0
NC_007946.1,TreasureIsland,5065741,31,1045000,False,93.56231054544085,99.79967264803639,96.58039093740435,98.14140677919104,0.9539969789818361,198775,13677,544496,399,14,28905.0,0.18787500000000001,-29153.0,24207.0,3.571428571428571,7.142857142857142,17.857142857142858
NC_007958.1,TreasureIsland,4892717,89,2543717,False,100.0,100.0,100.0,100.0,1.0,148845,0,12807,0,8,22200.0,0.2581705357142857,-25403.5,19997.0,0.0,0.0,6.25
NC_008022.1,TreasureIsland,1928252,31,714252,False,41.75260685229747,100.0,58.90912030394277,89.80582280892624,0.6095959969559304,14575,20333,164549,0,1,14212.5,0.33895348837209305,-24057.0,4368.0,0.0,0.0,50.0
NC_008023.1,TreasureIsland,1860355,26,631355,False,100.0,98.49394952979704,99.24126127079914,99.64467802044341,0.9901415813237248,56243,0,184931,860,1,4808.5,0.8539781354388096,-8757.0,-860.0,50.0,50.0,50.0
NC_008024.1,TreasureIsland,1937111,26,651111,False,78.50498819220203,100.0,87.95831308385982,94.28151364658216,0.8534082997865594,48867,13380,171731,0,1,10566.5,0.6981,-11459.0,9674.0,0.0,0.0,0.0
NC_008060.1,TreasureIsland,3294563,26,663000,False,94.6972193681381,70.95138956134404,81.12231482275962,92.39366940237169,0.7773122576405055,146543,8206,681915,59997,9,5647.5,0.40855,-2644.0,3223.0,11.11111111111111,33.33333333333333,50.0
NC_008061.1,TreasureIsland,2788459,46,1100459,False,17.961498129280322,100.0,30.45315363763074,85.75804704391095,0.3914217534033435,13874,63369,367703,0,1,68063.0,0.09249333333333333,-64914.0,71212.0,0.0,0.0,0.0
NC_008253.1,TreasureIsland,4938920,28,930000,False,87.24277087169311,100.0,93.18679750950241,98.00613428324763,0.9231935352302417,91447,13372,565838,0,7,32497.5,0.15224,-29316.0,39433.0,0.0,0.0,7.142857142857142
NC_008258.1,TreasureIsland,4574284,53,955000,False,63.07792516878985,96.12682777841408,76.1721083959189,94.81025002388553,0.754541602135859,50357,29476,525200,2029,5,5339.0,0.47135,-4517.0,6161.0,0.0,10.0,50.0
NC_008321.1,TreasureIsland,4706287,95,2622000,False,100.0,75.99332220367279,86.35932460633656,82.9798314553546,0.6924609056969776,113800,0,61470,35950,8,9408.5,0.357690704601479,1225.5,10809.5,6.25,12.5,37.5
NC_008322.1,TreasureIsland,4792610,94,2707000,False,99.90811402278212,100.0,99.95403589410712,99.94128219954192,0.9987284975639099,142437,131,80533,0,9,19646.5,0.296175,-17486.0,21807.0,11.11111111111111,11.11111111111111,22.22222222222222
NC_008390.1,TreasureIsland,3556545,32,677000,False,76.02361600981445,100.0,86.37888225813477,99.56424252474565,0.869986758851287,9915,3127,704559,0,1,20042.5,0.1983,-520.0,39565.0,50.0,50.0,50.0
NC_008463.1,TreasureIsland,6537648,58,1510000,False,100.0,99.01950267115794,99.5073360571792,99.58497054532025,0.9915241132704566,138456,0,190511,1371,11,13336.0,0.3405862068965517,-13468.0,13204.0,9.090909090909092,13.636363636363635,27.27272727272727
NC_008543.1,TreasureIsland,2998664,53,1079664,False,20.47350162385592,100.0,33.98838972536646,90.56925406578786,0.43005410997128507,11095,43097,402792,0,1,11952.5,0.317,-20985.0,2920.0,0.0,0.0,50.0
NC_008563.1,TreasureIsland,5082025,40,1060000,False,85.71841617891833,100.0,92.3100874350969,97.3797285963139,0.9113353118357314,109693,18276,569516,0,8,15832.5,0.3187,-13871.0,19392.5,6.25,6.25,12.5
NC_008577.1,TreasureIsland,4972204,86,3670000,False,100.0,100.0,100.0,100.0,1.0,101178,0,96994,0,6,30869.5,0.175146,-23157.5,51493.5,0.0,0.0,8.333333333333332
NC_008595.1,TreasureIsland,5475491,0,0,True,0.0,0.0,0.0,71.96382641144994,0.0,0,0,219073,85348,0,,,,,,,
NC_008600.1,TreasureIsland,5257091,21,352000,False,100.0,91.62192646063613,95.62781060909283,99.8740105554323,0.956581830393109,20308,0,1451768,1857,2,1348.5,0.7578697140929409,-847.0,570.5,50.0,75.0,100.0
NC_008611.1,TreasureIsland,5631606,0,0,True,0.0,0.0,0.0,97.2195723572139,0.0,0,0,285355,8161,0,,,,,,,
NC_008750.1,TreasureIsland,4708380,79,3287000,False,95.98252537830024,96.33098645248201,96.15644021963199,94.61313483608865,0.8715707227975452,227397,9518,91893,8661,12,23945.5,0.2853738272636238,-15039.0,29444.5,0.0,12.5,25.0
NC_008819.1,TreasureIsland,1864731,0,0,True,0.0,0.0,0.0,94.09937984640563,0.0,0,0,303016,19001,0,,,,,,,
NC_009052.1,TreasureIsland,5127376,97,3504000,False,82.70811776878939,97.0068402471315,89.2886519421173,87.29952319029042,0.7535827816839163,87927,18383,57081,2713,8,29262.0,0.13927224245020348,-29262.0,24606.5,6.25,12.5,25.0
NC_009074.1,TreasureIsland,3912947,38,773947,False,79.41770268834343,96.7445472784933,87.22901409272606,98.4359385143143,0.8688213254506003,44844,11622,781570,1509,3,5454.0,0.6354399919788777,-5987.0,-509.0,33.33333333333333,33.33333333333333,50.0
NC_009076.1,TreasureIsland,3988455,30,796000,False,75.15401898963543,100.0,85.8147810974096,99.13072805329234,0.8630358326494365,20738,6856,761112,0,2,13305.0,0.24333714285714286,-9659.5,22471.5,0.0,0.0,25.0
NC_009080.1,TreasureIsland,3495687,23,440000,False,73.88616604684383,93.46667912889055,82.53094910591471,98.24755312880761,0.8224719751202795,30000,10603,682001,2097,1,8548.5,0.46733339564445275,1979.0,-15118.0,0.0,50.0,50.0
NC_009085.1,TreasureIsland,3976747,25,410000,False,94.95874266148408,84.59957319228604,89.48033469616664,97.31651078402888,0.8814103354214962,129236,6861,972746,23526,4,8103.0,0.411380950348556,-1407.5,6510.0,25.0,25.0,50.0
NC_009256.1,TreasureIsland,3652814,28,935000,False,93.08191704916678,95.8822419783737,94.46133002415937,96.14843872947253,0.9153366236755616,315140,23422,607411,13534,15,28504.5,0.15206275421266705,-32076.0,24823.0,0.0,3.3333333333333335,13.333333333333334
NC_009342.1,TreasureIsland,3314179,0,0,True,0.0,0.0,0.0,92.381061314566,0.0,0,0,1373032,113238,0,,,,,,,
NC_009438.1,TreasureIsland,4659220,86,3313000,False,84.45264047362183,87.9867559202476,86.18348265613815,81.08657886531351,0.5637320688243737,158912,29255,59532,21697,13,16637.0,0.19391111111111112,-19981.0,13541.0,3.8461538461538463,11.538461538461538,23.076923076923077
NC_009445.1,TreasureIsland,7456587,141,4446000,False,100.0,91.32178019334432,95.46407115913009,92.40961656381955,0.754186738952243,389481,0,61124,37012,20,28914.0,0.21358561872909698,-21976.0,35706.5,5.0,5.0,12.5
NC_009485.1,TreasureIsland,8264687,123,4585687,False,94.22508154203507,99.07937945343916,96.59127947753997,95.19465168942975,0.8878883867786795,849033,52036,338090,7889,52,42061.5,0.12692773809523808,-38503.5,46423.0,1.9230769230769231,4.807692307692308,9.615384615384617
NC_009487.1,TreasureIsland,2906700,38,906000,False,53.598246801379354,100.0,69.79018044481745,94.40606715205955,0.7098794417941606,16631,14398,226357,0,1,34184.5,0.19565882352941177,-27404.0,40965.0,0.0,0.0,0.0
NC_009504.1,TreasureIsland,1164220,21,777220,False,19.86396468073821,100.0,33.14418096155348,74.19925161355133,0.3793250458039847,12733,51368,134994,0,1,33633.5,0.1591625,-27057.0,40210.0,0.0,0.0,0.0
NC_009512.1,TreasureIsland,5959964,99,2257000,False,97.12173254270692,85.30275513930789,90.8293779532173,92.18105967874897,0.8460240145491357,170504,5053,235407,29377,15,7833.0,0.35633333333333334,-6713.0,6401.0,13.333333333333334,20.0,30.0
NC_009567.1,TreasureIsland,1887192,34,688000,False,100.0,100.0,100.0,100.0,1.0,19792,0,8553,0,2,20605.5,0.19791999999999998,-13745.0,26359.0,0.0,0.0,25.0
NC_009632.1,TreasureIsland,2906507,40,913000,False,53.81155762635087,100.0,69.97075961882324,94.69198647990392,0.7125093151019981,16631,14275,238027,0,1,34184.5,0.19565882352941177,-27278.0,41091.0,0.0,0.0,0.0
NC_009665.1,TreasureIsland,5229686,90,3300000,False,96.75744117188717,93.67932285733684,95.1935054830067,92.75161267947561,0.8064946738577896,248357,8323,72571,16757,17,17566.5,0.22514545454545454,-17827.0,16088.0,5.88235294117647,8.823529411764707,11.76470588235294
NC_009708.1,TreasureIsland,4723306,50,992000,False,92.68233945906445,92.10487225193108,92.3927035517825,92.96446440123876,0.8585055981045278,111609,8812,131243,9567,7,13591.0,0.3056273221623484,-14127.0,13055.0,0.0,0.0,7.142857142857142
NC_009782.1,TreasureIsland,2880168,40,935168,False,61.55016849657572,100.0,76.19944822017362,93.47426606249354,0.7554140326139449,28310,17685,225009,0,1,18845.0,0.42893939393939395,-7005.0,30685.0,0.0,0.0,0.0
NC_009783.1,TreasureIsland,3765351,51,1235351,False,92.26840040306156,86.08426053256657,89.06911708019983,87.73334030088198,0.7536782128298806,172147,14425,130054,27828,12,22035.5,0.2027059523809524,-15729.5,23820.0,4.166666666666666,16.666666666666664,25.0
NC_009800.1,TreasureIsland,4643538,31,665000,False,63.24868483143122,100.0,77.4875275678222,96.61566342042029,0.7808697165719675,36189,21028,564116,0,3,19707.0,0.24337142857142857,-4785.0,34629.0,0.0,0.0,50.0
NC_009801.1,TreasureIsland,4979619,37,950000,False,81.75801382778127,99.9692584366378,89.95114395073595,95.53595291269741,0.8784653931720161,130077,29023,491906,40,7,19389.5,0.23605714285714285,-9228.0,19878.0,7.142857142857142,14.285714285714285,21.428571428571427
NC_009879.1,TreasureIsland,1159772,13,697000,False,99.08441757567793,100.0,99.54010342171856,99.57536723622991,0.9914934514077937,22618,209,26392,0,2,10377.5,0.31781944444444443,-35313.5,10377.5,0.0,0.0,25.0
NC_009900.1,TreasureIsland,1360898,17,457898,False,100.0,100.0,100.0,100.0,1.0,15317,0,20813,0,1,33341.5,0.18679268292682927,-18256.0,48427.0,0.0,0.0,0.0
NC_009901.1,TreasureIsland,5174581,89,2073000,False,97.66964446850749,63.70377999794006,77.11214612034803,91.01724830924628,0.7436785833375231,43295,1033,217119,24668,3,9918.0,0.4437333333333333,-13595.0,3093.0,0.0,16.666666666666664,33.33333333333333
NC_009997.1,TreasureIsland,5347283,104,3544000,False,92.5200367499185,94.53242949780025,93.5154080204727,91.00810890199,0.7890907531963824,218524,17667,88207,12639,13,44047.0,0.14192518564785897,-43844.0,44250.0,7.6923076923076925,7.6923076923076925,11.538461538461538
NC_010084.1,TreasureIsland,3448466,31,576000,False,53.96942437201986,100.0,70.104080199221,95.51642616455491,0.7170453566011779,43916,37456,754033,0,4,9083.0,0.30325,-9083.0,16762.5,0.0,12.5,12.5
NC_010102.1,TreasureIsland,4858887,41,899887,False,66.11825545741614,100.0,79.60384037907903,97.3029536910209,0.8014733131760261,28895,14807,505306,0,2,22096.5,0.2643025,-36084.5,19468.0,0.0,0.0,0.0
NC_010159.1,TreasureIsland,4504254,60,925000,False,57.71198263835065,100.0,73.18655396107727,98.2316694518305,0.7527695945703351,18615,13640,739094,0,2,2869.0,0.6778,-2823.5,2869.0,25.0,50.0,75.0
NC_010167.1,TreasureIsland,1400844,19,730844,False,89.3766125999974,87.33110783127569,88.34202120331538,89.45658850937076,0.7873858757503456,137867,16387,170862,20000,4,43426.0,0.20396333333333333,-41893.0,39047.0,0.0,0.0,0.0
NC_010184.1,TreasureIsland,5262775,22,424000,False,100.0,48.42907013646462,65.25550566602524,99.04342866561406,0.6925432288949495,13734,0,1500539,14625,1,30203.5,0.1852416341835152,4141.0,56266.0,0.0,0.0,50.0
NC_010322.1,TreasureIsland,6078430,88,2376000,False,99.7793904494244,81.19547399144376,89.53326117578591,89.89609024380383,0.8155600519675413,203078,449,219368,47032,16,12923.0,0.22834479513393563,-17551.0,10527.5,3.125,6.25,15.625
NC_010334.1,TreasureIsland,5226917,82,2088000,False,42.693793659672444,67.0466384752099,52.16810783316378,71.99806446810094,0.3544055298032959,32820,44053,121924,16131,3,12135.0,0.2746138841812426,-8633.0,15412.0,0.0,0.0,0.0
NC_010380.1,TreasureIsland,2245615,0,0,True,0.0,0.0,0.0,34.45666608203252,0.0,0,0,41256,78477,0,,,,,,,
NC_010400.1,TreasureIsland,3421954,17,285000,False,74.02287079706434,48.21460334400569,58.39425886281321,97.03384665003499,0.5833795317091613,21685,7610,989201,23291,3,5635.5,0.2940135653199646,-106.0,3266.0,16.666666666666664,16.666666666666664,33.33333333333333
NC_010410.1,TreasureIsland,3936291,25,426000,False,96.65759270892539,87.62961154955296,91.9224678292699,98.44970269891509,0.912012456630546,96935,3352,984915,13684,5,6204.5,0.51996,-3992.0,2358.0,10.0,30.0,40.0
NC_010465.1,TreasureIsland,4689441,53,1001000,False,100.0,94.47120899288828,97.15701309425503,96.73414076395359,0.9353621699139844,164720,0,120815,9640,10,10181.0,0.3508904796753376,-19877.0,5569.0,15.0,20.0,35.0
NC_010473.1,TreasureIsland,4686137,37,675000,False,55.99277912510713,92.76478762612531,69.83386966557885,95.21516343547262,0.6994785718923782,30707,24134,497203,2395,3,5124.5,0.4184,-5915.0,4334.0,0.0,33.33333333333333,50.0
NC_010498.1,TreasureIsland,5068389,36,895000,False,80.149457498024,73.30993598590901,76.57728165204378,94.82488991628632,0.7376747378659076,55772,13813,569381,20305,5,22135.0,0.13829333333333332,-51419.0,8106.0,10.0,10.0,10.0
NC_010501.1,TreasureIsland,5774330,96,2458000,False,98.58987116371635,83.44735617237889,90.38880908461608,87.20478994707726,0.7390542965618845,225897,3231,101516,44809,19,10778.0,0.27325,-9768.0,8246.0,7.894736842105263,15.789473684210526,26.31578947368421
NC_010515.1,TreasureIsland,3213911,56,1377000,False,62.89226347677489,92.83400693668129,74.98466133382723,84.8608089788455,0.6721883867195062,129548,76436,354958,10000,7,29685.5,0.21822,-34978.0,26675.0,0.0,0.0,0.0
NC_010551.1,TreasureIsland,3443583,31,601000,False,39.891189891189896,100.0,57.0317400577092,97.49383825683341,0.6234945320298741,13638,20550,785791,0,1,13181.0,0.34095,-1633.0,24729.0,0.0,50.0,50.0
NC_010582.1,TreasureIsland,2209198,0,0,True,0.0,0.0,0.0,57.33842104530199,0.0,0,0,41173,30634,0,,,,,,,
NC_010612.1,TreasureIsland,6636827,0,0,True,0.0,0.0,0.0,72.1083697846242,0.0,0,0,744467,287961,0,,,,,,,
