accession,organism,method,n_pred,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,n_matched,mabe,median_jaccard,median_signed_start,median_signed_end,within_1000,within_2500,within_5000
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI/no-refine,7,48.8754617414248,19.54218219874078,27.920668511585,80.78440590926351,0.2181149765243774,92619,96881,1917810,381325,7,9108.0,0.2888311688311688,-5402.0,6203.0,14.285714285714285,21.428571428571427,21.428571428571427
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI/start-assign,7,51.58131868131868,19.80782539709333,28.62378495725245,81.18695590152835,0.2327646390102409,93878,88122,1926569,380066,6,6368.0,0.4984821428571429,-4397.5,2248.5,0.0,25.0,33.33333333333333
NC_002935.2,Corynebacterium diphtheriae NCTC13129,SAGE-GI/d=16,6,45.52918032786885,14.64983204766808,22.167025304735937,80.40773355674898,0.1723363349081302,69432,83068,1931623,404512,3,4248.5,0.7841112909576097,-7520.0,2036.0,33.33333333333333,50.0,50.0
NC_011770.1,Pseudomonas aeruginosa LESB58,SSG-LUGIA-P,11,63.25743214131839,65.02481271438472,64.12894757819264,95.02403678293521,0.6146282162892381,293641,170559,5979615,157942,7,4004.5,0.7849448529411764,851.0,-3700.0,7.142857142857142,14.285714285714285,57.14285714285714
NC_011770.1,Pseudomonas aeruginosa LESB58,SSG-LUGIA-F,16,51.53200371057514,73.80902292601803,60.69085191595281,93.459847128575,0.5834708968414128,333309,313491,5836683,118274,7,4704.5,0.8160473588342441,-5827.0,-2218.0,14.285714285714285,42.857142857142854,50.0
NC_011770.1,Pseudomonas aeruginosa LESB58,SSG-LUGIA-R,39,22.602010265183917,93.6146843437419,36.41266968793484,77.63493869889486,0.39257578678960786,422748,1447652,4702522,28835,10,16176.0,0.5105729242286752,-16586.5,13573.5,0.0,10.0,20.0
NC_011770.1,Pseudomonas aeruginosa LESB58,Comp-only,15,53.37006737247353,73.67615698553755,61.90032772611288,93.79612124469288,0.5952096613556741,332709,290691,5859483,118874,7,4704.5,0.8105828779599271,-5827.0,-2218.0,21.428571428571427,42.857142857142854,50.0
NC_011770.1,Pseudomonas aeruginosa LESB58,Comp-only+center,15,54.08501764517164,74.66312948007344,62.72955014172318,93.93114590555211,0.6043553277008429,337166,286234,5863940,114417,7,3782.0,0.8754905660377359,-877.0,2732.0,7.142857142857142,21.428571428571427,78.57142857142857
NC_011770.1,Pseudomonas aeruginosa LESB58,DNABERT-2-only,16,51.918635502210996,90.99899686214937,66.11561738033582,93.61971366107538,0.6590862640590371,410936,380564,5769610,40647,10,5170.0,0.6725465656556646,-113.0,979.5,35.0,50.0,50.0
NC_011770.1,Pseudomonas aeruginosa LESB58,DNABERT-S-only,13,68.90588235294118,85.6015394733637,76.35166697446037,96.37279893822205,0.7492613037405063,386562,174438,5975736,65021,9,2248.5,0.9161739130434783,-1449.0,1982.0,22.22222222222222,55.55555555555556,66.66666666666666
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI,13,61.35007407407408,91.70252201699356,73.51664280394786,95.48064250168554,0.7287262011369564,414113,260887,5889287,37470,9,2776.5,0.8763333333333333,-1874.0,2453.0,22.22222222222222,50.0,61.111111111111114
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI-P,11,75.42514851485149,84.34706355199376,79.63699961216119,97.04943699078896,0.7819359519961023,380897,124103,6026071,70686,8,1928.0,0.9298554637302594,-1074.0,1020.5,31.25,68.75,81.25
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI-F,13,61.35007407407408,91.70252201699356,73.51664280394786,95.48064250168554,0.7287262011369564,414113,260887,5889287,37470,9,2776.5,0.8763333333333333,-1874.0,2453.0,22.22222222222222,50.0,61.111111111111114
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI-R,79,19.910915212191014,99.53186900304041,33.18359694394539,72.58237466177565,0.37323559892592756,449469,1807931,4342243,2114,11,7506.0,0.5523928571428571,-4494.0,7750.0,9.090909090909092,31.818181818181817,45.45454545454545
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI(D2),15,51.95145385587864,90.99899686214937,66.1422214854058,93.62728740242939,0.6593293693339419,410936,380064,5770110,40647,10,9145.0,0.6725465656556646,-113.0,5979.5,30.0,45.0,45.0
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI/detrend=250kb,15,50.857934508816115,89.42143526217772,64.83903521483514,93.36602362068159,0.6447321438170369,403812,390188,5759986,47771,9,3125.0,0.7111915691472167,-1874.0,2453.0,16.666666666666664,44.44444444444444,55.55555555555556
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI/no-refine,13,58.81667824878388,93.71167648029267,72.27258870635129,95.08144574239857,0.7201054121867184,423186,296314,5853860,28397,9,4286.5,0.8183597883597884,-2194.0,6303.0,5.555555555555555,33.33333333333333,55.55555555555556
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI/start-assign,13,61.807910447761195,91.70252201699356,73.84437888234753,95.55637991522559,0.731811556370212,414113,255887,5894287,37470,9,2776.5,0.8763333333333333,-1874.0,2453.0,22.22222222222222,50.0,61.111111111111114
NC_011770.1,Pseudomonas aeruginosa LESB58,SAGE-GI/d=16,13,59.63005952380952,88.73540412283013,71.32788587936984,95.12016270820025,0.7039835920686779,400714,271286,5878888,50869,9,5266.5,0.7667916666666666,-3874.0,594.0,16.666666666666664,33.33333333333333,50.0
