donor,tnf,dgc
NC_009445.1,0.06420310461189262,0.21035455740984776
NC_007778.1,0.06734018852699923,0.21563444069298843
NC_007510.1,0.06974628988628154,0.21730119687884686
NC_008595.1,0.07031295391099766,0.24513164977613044
NC_002944.2,0.07134499694298242,0.24823676699565544
NC_009256.1,0.07145244004972312,0.22011290057998
NC_010515.1,0.0715256420454223,0.22126228521020064
NC_008061.1,0.07253080300451435,0.2238647858271685
NC_008543.1,0.07266813458247638,0.22403985494517786
NC_008390.1,0.07282469788115979,0.223935605027905
NC_010551.1,0.07304352078207234,0.2242349983207318
NC_008060.1,0.07307592052438067,0.22460744285984557
NC_010084.1,0.07540333210485355,0.223943375787778
NC_007651.1,0.07785315164931388,0.22811252913291524
NC_007434.1,0.07889681712604132,0.23131045254105143
NC_006350.1,0.07943632011095354,0.23244998990273258
NC_009076.1,0.0803449432563177,0.23484541779291046
NC_009074.1,0.08076891377300033,0.235455402772201
NC_009080.1,0.08107228071329706,0.2368947715662485
