accession,method,start,end
NC_003198.1,SAGE-GI/start-assign,3523001,3600000
NC_003198.1,SAGE-GI/start-assign,4222001,4257000
NC_003198.1,SAGE-GI/start-assign,4403001,4543000
NC_003198.1,SAGE-GI/start-assign,4683001,4721000
NC_003198.1,SAGE-GI/d=16,286001,361000
NC_003198.1,SAGE-GI/d=16,999001,1044000
NC_003198.1,SAGE-GI/d=16,1542001,1572000
NC_003198.1,SAGE-GI/d=16,1626001,1651000
NC_003198.1,SAGE-GI/d=16,1873001,1937000
NC_003198.1,SAGE-GI/d=16,2118001,2130000
NC_003198.1,SAGE-GI/d=16,2733001,2759000
NC_003198.1,SAGE-GI/d=16,2861001,2900000
NC_003198.1,SAGE-GI/d=16,3041001,3061000
NC_003198.1,SAGE-GI/d=16,3523001,3601000
NC_003198.1,SAGE-GI/d=16,4321001,4348000
NC_003198.1,SAGE-GI/d=16,4403001,4535000
NC_003198.1,SAGE-GI/d=16,4683001,4726000
NC_002935.2,SSG-LUGIA-P,143901,193100
NC_002935.2,SSG-LUGIA-P,446101,457400
NC_002935.2,SSG-LUGIA-P,1865801,1885600
NC_002935.2,SSG-LUGIA-F,142401,195700
NC_002935.2,SSG-LUGIA-F,353701,366800
NC_002935.2,SSG-LUGIA-F,443601,461900
NC_002935.2,SSG-LUGIA-F,1864101,1887500
NC_002935.2,SSG-LUGIA-F,2041901,2063200
NC_002935.2,SSG-LUGIA-R,13301,73900
NC_002935.2,SSG-LUGIA-R,82901,94200
NC_002935.2,SSG-LUGIA-R,129601,264000
NC_002935.2,SSG-LUGIA-R,281601,315200
NC_002935.2,SSG-LUGIA-R,340301,393500
NC_002935.2,SSG-LUGIA-R,438401,487700
NC_002935.2,SSG-LUGIA-R,575201,587200
NC_002935.2,SSG-LUGIA-R,726101,748400
NC_002935.2,SSG-LUGIA-R,770701,793700
NC_002935.2,SSG-LUGIA-R,929001,966400
NC_002935.2,SSG-LUGIA-R,1150501,1209700
NC_002935.2,SSG-LUGIA-R,1857601,1902900
NC_002935.2,SSG-LUGIA-R,1985501,2002400
NC_002935.2,SSG-LUGIA-R,2037201,2142300
NC_002935.2,SSG-LUGIA-R,2159601,2171900
NC_002935.2,SSG-LUGIA-R,2175401,2185400
NC_002935.2,SSG-LUGIA-R,2198001,2266400
NC_002935.2,SSG-LUGIA-R,2274301,2318700
NC_002935.2,SSG-LUGIA-R,2442101,2464300
NC_002935.2,Comp-only,142401,195700
NC_002935.2,Comp-only,353701,366800
NC_002935.2,Comp-only,443701,461700
NC_002935.2,Comp-only,1864101,1887500
NC_002935.2,Comp-only,2042101,2063300
NC_002935.2,Comp-only+center,147351,200650
NC_002935.2,Comp-only+center,358651,371750
NC_002935.2,Comp-only+center,448651,466650
NC_002935.2,Comp-only+center,1869051,1892450
NC_002935.2,Comp-only+center,2047051,2068250
NC_002935.2,DNABERT-2-only,156001,204000
NC_002935.2,DNABERT-2-only,249001,268000
NC_002935.2,DNABERT-2-only,383001,493000
NC_002935.2,DNABERT-2-only,1861001,1880000
NC_002935.2,DNABERT-S-only,53001,70000
NC_002935.2,DNABERT-S-only,156001,203000
NC_002935.2,DNABERT-S-only,243001,264000
NC_002935.2,DNABERT-S-only,446001,475000
NC_002935.2,DNABERT-S-only,726001,753000
NC_002935.2,DNABERT-S-only,774001,798000
NC_002935.2,DNABERT-S-only,1142001,1191000
NC_002935.2,DNABERT-S-only,1865001,1879000
NC_002935.2,SAGE-GI,53001,70000
NC_002935.2,SAGE-GI,156001,213000
NC_002935.2,SAGE-GI,248001,263000
NC_002935.2,SAGE-GI,443001,475000
NC_002935.2,SAGE-GI,774001,798000
NC_002935.2,SAGE-GI,1865001,1879000
NC_002935.2,SAGE-GI,2460001,2486000
NC_002935.2,SAGE-GI-P,156001,203000
NC_002935.2,SAGE-GI-P,243001,264000
NC_002935.2,SAGE-GI-P,443001,475000
NC_002935.2,SAGE-GI-P,1865001,1879000
NC_002935.2,SAGE-GI-P,2460001,2486000
NC_002935.2,SAGE-GI-F,53001,70000
NC_002935.2,SAGE-GI-F,156001,213000
NC_002935.2,SAGE-GI-F,248001,263000
NC_002935.2,SAGE-GI-F,443001,475000
NC_002935.2,SAGE-GI-F,774001,798000
NC_002935.2,SAGE-GI-F,1865001,1879000
NC_002935.2,SAGE-GI-F,2460001,2486000
NC_002935.2,SAGE-GI-R,20751,78050
NC_002935.2,SAGE-GI-R,89151,113450
NC_002935.2,SAGE-GI-R,135451,206150
NC_002935.2,SAGE-GI-R,228651,268150
NC_002935.2,SAGE-GI-R,293051,316150
NC_002935.2,SAGE-GI-R,363051,384250
NC_002935.2,SAGE-GI-R,405651,418450
NC_002935.2,SAGE-GI-R,435451,500450
NC_002935.2,SAGE-GI-R,554151,567250
NC_002935.2,SAGE-GI-R,576851,600050
NC_002935.2,SAGE-GI-R,727251,754350
NC_002935.2,SAGE-GI-R,773251,799650
NC_002935.2,SAGE-GI-R,859951,883550
NC_002935.2,SAGE-GI-R,935751,974850
NC_002935.2,SAGE-GI-R,1069751,1077850
NC_002935.2,SAGE-GI-R,1166551,1198050
NC_002935.2,SAGE-GI-R,1261251,1269350
NC_002935.2,SAGE-GI-R,1559851,1575350
NC_002935.2,SAGE-GI-R,1683051,1694750
NC_002935.2,SAGE-GI-R,1862151,1897650
NC_002935.2,SAGE-GI-R,1920251,1940850
NC_002935.2,SAGE-GI-R,1987351,2014750
NC_002935.2,SAGE-GI-R,2045551,2072050
NC_002935.2,SAGE-GI-R,2090051,2150350
NC_002935.2,SAGE-GI-R,2178451,2196850
NC_002935.2,SAGE-GI-R,2220951,2274650
NC_002935.2,SAGE-GI-R,2299651,2322150
NC_002935.2,SAGE-GI-R,2358451,2377150
NC_002935.2,SAGE-GI-R,2429151,2443050
NC_002935.2,SAGE-GI-R,2458451,2483650
NC_002935.2,SAGE-GI(D2),26001,62000
NC_002935.2,SAGE-GI(D2),156001,204000
NC_002935.2,SAGE-GI(D2),319001,335000
NC_002935.2,SAGE-GI(D2),424751,475000
NC_002935.2,SAGE-GI(D2),781001,794000
NC_002935.2,SAGE-GI(D2),1861001,1880000
NC_002935.2,SAGE-GI/detrend=250kb,1001,89000
NC_002935.2,SAGE-GI/detrend=250kb,154001,192000
NC_002935.2,SAGE-GI/detrend=250kb,1863001,1880000
NC_002935.2,SAGE-GI/detrend=250kb,2293001,2321000
NC_002935.2,SAGE-GI/detrend=250kb,2409001,2487000
NC_002935.2,SAGE-GI/no-refine,47651,70650
NC_002935.2,SAGE-GI/no-refine,148751,197750
NC_002935.2,SAGE-GI/no-refine,239051,262150
NC_002935.2,SAGE-GI/no-refine,446151,484250
NC_002935.2,SAGE-GI/no-refine,777451,797950
NC_002935.2,SAGE-GI/no-refine,1866751,1890650
NC_002935.2,SAGE-GI/no-refine,2463651,2475550
NC_002935.2,SAGE-GI/start-assign,53001,70000
NC_002935.2,SAGE-GI/start-assign,156001,203000
NC_002935.2,SAGE-GI/start-assign,243001,264000
NC_002935.2,SAGE-GI/start-assign,446001,475000
NC_002935.2,SAGE-GI/start-assign,774001,802000
NC_002935.2,SAGE-GI/start-assign,1865001,1879000
NC_002935.2,SAGE-GI/start-assign,2460001,2486000
NC_002935.2,SAGE-GI/d=16,145001,190000
NC_002935.2,SAGE-GI/d=16,446851,467350
NC_002935.2,SAGE-GI/d=16,769001,802000
NC_002935.2,SAGE-GI/d=16,946001,969000
NC_002935.2,SAGE-GI/d=16,1866001,1883000
NC_002935.2,SAGE-GI/d=16,2460001,2474000
NC_011770.1,SSG-LUGIA-P,690101,751900
NC_011770.1,SSG-LUGIA-P,860901,902400
NC_011770.1,SSG-LUGIA-P,1443101,1455800
NC_011770.1,SSG-LUGIA-P,1591101,1608000
NC_011770.1,SSG-LUGIA-P,2496701,2547400
NC_011770.1,SSG-LUGIA-P,2691301,2736500
NC_011770.1,SSG-LUGIA-P,2799501,2905200
NC_011770.1,SSG-LUGIA-P,3046101,3073200
NC_011770.1,SSG-LUGIA-P,3144801,3188900
NC_011770.1,SSG-LUGIA-P,3400101,3419500
NC_011770.1,SSG-LUGIA-P,4926001,4965100
NC_011770.1,SSG-LUGIA-F,687701,754100
NC_011770.1,SSG-LUGIA-F,857501,903800
NC_011770.1,SSG-LUGIA-F,1433401,1466300
NC_011770.1,SSG-LUGIA-F,1585101,1612600
NC_011770.1,SSG-LUGIA-F,2045101,2066200
NC_011770.1,SSG-LUGIA-F,2232401,2255700
NC_011770.1,SSG-LUGIA-F,2496201,2549500
NC_011770.1,SSG-LUGIA-F,2639901,2656100
NC_011770.1,SSG-LUGIA-F,2690101,2736600
NC_011770.1,SSG-LUGIA-F,2795701,2908700
NC_011770.1,SSG-LUGIA-F,3043901,3073900
NC_011770.1,SSG-LUGIA-F,3141101,3189900
NC_011770.1,SSG-LUGIA-F,3384601,3422700
NC_011770.1,SSG-LUGIA-F,4770901,4791800
NC_011770.1,SSG-LUGIA-F,4925701,4966600
NC_011770.1,SSG-LUGIA-F,5654101,5675700
NC_011770.1,SSG-LUGIA-R,177601,194100
NC_011770.1,SSG-LUGIA-R,203401,214300
NC_011770.1,SSG-LUGIA-R,618201,640600
NC_011770.1,SSG-LUGIA-R,674601,774900
NC_011770.1,SSG-LUGIA-R,846101,904800
NC_011770.1,SSG-LUGIA-R,1299701,1311700
NC_011770.1,SSG-LUGIA-R,1431001,1493500
NC_011770.1,SSG-LUGIA-R,1575701,1614900
NC_011770.1,SSG-LUGIA-R,1682101,1715000
NC_011770.1,SSG-LUGIA-R,1913701,1929000
NC_011770.1,SSG-LUGIA-R,1951801,1970800
NC_011770.1,SSG-LUGIA-R,2042701,2067800
NC_011770.1,SSG-LUGIA-R,2133801,2162200
NC_011770.1,SSG-LUGIA-R,2214901,2268800
NC_011770.1,SSG-LUGIA-R,2489301,2555800
NC_011770.1,SSG-LUGIA-R,2589501,2610300
NC_011770.1,SSG-LUGIA-R,2623001,2917600
NC_011770.1,SSG-LUGIA-R,3041101,3191400
NC_011770.1,SSG-LUGIA-R,3228301,3253500
NC_011770.1,SSG-LUGIA-R,3255501,3312200
NC_011770.1,SSG-LUGIA-R,3361701,3427100
NC_011770.1,SSG-LUGIA-R,3466401,3512700
NC_011770.1,SSG-LUGIA-R,3729601,3794400
NC_011770.1,SSG-LUGIA-R,3892201,3902700
NC_011770.1,SSG-LUGIA-R,4004601,4029600
NC_011770.1,SSG-LUGIA-R,4176101,4194000
NC_011770.1,SSG-LUGIA-R,4437801,4537600
NC_011770.1,SSG-LUGIA-R,4646101,4696000
NC_011770.1,SSG-LUGIA-R,4754101,4812600
NC_011770.1,SSG-LUGIA-R,4924901,4979900
NC_011770.1,SSG-LUGIA-R,5071601,5096200
NC_011770.1,SSG-LUGIA-R,5108301,5150000
NC_011770.1,SSG-LUGIA-R,5268101,5293300
NC_011770.1,SSG-LUGIA-R,5364301,5389600
NC_011770.1,SSG-LUGIA-R,5648101,5687600
NC_011770.1,SSG-LUGIA-R,5949401,6023200
NC_011770.1,SSG-LUGIA-R,6141401,6155100
NC_011770.1,SSG-LUGIA-R,6251501,6262400
NC_011770.1,SSG-LUGIA-R,6580401,6591800
NC_011770.1,Comp-only,687801,754100
NC_011770.1,Comp-only,857501,903800
NC_011770.1,Comp-only,1433401,1466000
NC_011770.1,Comp-only,1584901,1612500
NC_011770.1,Comp-only,2045201,2066200
NC_011770.1,Comp-only,2232501,2255500
NC_011770.1,Comp-only,2496201,2549200
NC_011770.1,Comp-only,2640201,2655700
NC_011770.1,Comp-only,2690201,2736600
NC_011770.1,Comp-only,2795901,2908600
NC_011770.1,Comp-only,3043901,3073800
NC_011770.1,Comp-only,3141201,3189900
NC_011770.1,Comp-only,3384701,3422700
NC_011770.1,Comp-only,4925701,4966600
NC_011770.1,Comp-only,5654201,5675700
NC_011770.1,Comp-only+center,692751,759050
NC_011770.1,Comp-only+center,862451,908750
NC_011770.1,Comp-only+center,1438351,1470950
NC_011770.1,Comp-only+center,1589851,1617450
NC_011770.1,Comp-only+center,2050151,2071150
NC_011770.1,Comp-only+center,2237451,2260450
NC_011770.1,Comp-only+center,2501151,2554150
NC_011770.1,Comp-only+center,2645151,2660650
NC_011770.1,Comp-only+center,2695151,2741550
NC_011770.1,Comp-only+center,2800851,2913550
NC_011770.1,Comp-only+center,3048851,3078750
NC_011770.1,Comp-only+center,3146151,3194850
NC_011770.1,Comp-only+center,3389651,3427650
NC_011770.1,Comp-only+center,4930651,4971550
NC_011770.1,Comp-only+center,5659151,5680650
NC_011770.1,DNABERT-2-only,674001,761000
NC_011770.1,DNABERT-2-only,865001,906000
NC_011770.1,DNABERT-2-only,1433001,1500000
NC_011770.1,DNABERT-2-only,1685001,1711000
NC_011770.1,DNABERT-2-only,2053001,2065000
NC_011770.1,DNABERT-2-only,2504001,2553000
NC_011770.1,DNABERT-2-only,2701001,2907000
NC_011770.1,DNABERT-2-only,3051001,3074000
NC_011770.1,DNABERT-2-only,3158001,3190000
NC_011770.1,DNABERT-2-only,3379001,3431000
NC_011770.1,DNABERT-2-only,3810051,3820350
NC_011770.1,DNABERT-2-only,4647001,4707000
NC_011770.1,DNABERT-2-only,4932001,4961000
NC_011770.1,DNABERT-2-only,5085001,5139000
NC_011770.1,DNABERT-2-only,5654001,5685000
NC_011770.1,DNABERT-2-only,6584051,6596250
NC_011770.1,DNABERT-S-only,698001,739000
NC_011770.1,DNABERT-S-only,862001,908000
NC_011770.1,DNABERT-S-only,1434001,1479000
NC_011770.1,DNABERT-S-only,1682001,1724000
NC_011770.1,DNABERT-S-only,2053001,2065000
NC_011770.1,DNABERT-S-only,2504001,2548000
NC_011770.1,DNABERT-S-only,2689001,2739000
NC_011770.1,DNABERT-S-only,2778001,2916000
NC_011770.1,DNABERT-S-only,3056001,3073000
NC_011770.1,DNABERT-S-only,3162001,3211000
NC_011770.1,DNABERT-S-only,3387001,3421000
NC_011770.1,DNABERT-S-only,4932001,4961000
NC_011770.1,DNABERT-S-only,5114001,5128000
NC_011770.1,SAGE-GI,698001,769000
NC_011770.1,SAGE-GI,862001,908000
NC_011770.1,SAGE-GI,1434001,1479000
NC_011770.1,SAGE-GI,1682001,1724000
NC_011770.1,SAGE-GI,2053001,2065000
NC_011770.1,SAGE-GI,2504001,2548000
NC_011770.1,SAGE-GI,2689001,2914000
NC_011770.1,SAGE-GI,3056001,3073000
